,,,,,,,,Diagnóstico,Datos PAES (2023 en adelante),,,,,,,,Datos PSU (Hasta 2022),,,,,,,
Año,Semestre,Bimestre,Cód. Asig.,Módulo,Nombre Asignatura,Nota Final,Estado Final,% Aciertos Diag. Matem.,PAES C. Lectora,PAES M1,PAES M2,PAES Historia,PAES Ciencias,NEM (PAES),Ranking (PAES),Prom. M1 y C. Lectora,PSU Lenguaje,PSU Matemáticas,PSU Historia,PSU Ciencias,NEM (PSU),Ranking (PSU),Prom. Leng. Y Mat.,Año Ingreso UFRO
2022,1,1,IME027,4,PRECÁLCULO I,"1,6",REPROBADA,"53,33",,,,,,,,,530,579,0,488,680,725,"554,5",2022
2022,1,1,IME027,4,PRECÁLCULO I,"1,7",REPROBADA,"30,00",,,,,,,,,564,540,542,465,492,509,"552,0",2022
2022,1,1,IME027,4,PRECÁLCULO I,"1,7",REPROBADA,"43,33",,,,,,,,,511,593,485,499,699,784,"552,0",2022
2022,1,1,IME027,4,PRECÁLCULO I,"1,8",REPROBADA,"30,00",,,,,,,,,507,583,0,453,538,558,"545,0",2022
2022,1,1,IME027,4,PRECÁLCULO I,"1,8",REPROBADA,"33,33",,,,,,,,,448,576,0,453,680,718,"512,0",2022
2022,1,1,IME027,4,PRECÁLCULO I,"1,8",REPROBADA,"46,67",,,,,,,,,559,555,592,562,796,814,"557,0",2022
2022,1,1,IME027,4,PRECÁLCULO I,"1,9",REPROBADA,"26,67",,,,,,,,,448,529,0,544,615,618,"488,5",2022
2022,1,1,IME027,4,PRECÁLCULO I,"1,9",REPROBADA,"26,67",,,,,,,,,478,583,395,390,582,582,"530,5",2022
2022,1,1,IME027,4,PRECÁLCULO I,"2,0",REPROBADA,"30,00",,,,,,,,,559,523,0,402,615,622,"541,0",2022
2022,1,1,IME027,4,PRECÁLCULO I,"2,0",REPROBADA,"43,33",,,,,,,,,428,576,503,513,571,571,"502,0",2022
2022,1,1,IME027,4,PRECÁLCULO I,"2,0",REPROBADA,"53,33",,,,,,,,,559,434,0,446,659,686,"496,5",2022
2022,1,1,IME027,4,PRECÁLCULO I,"2,1",REPROBADA,"20,00",,,,,,,,,550,535,519,543,517,517,"542,5",2022
2022,1,1,IME027,4,PRECÁLCULO I,"2,1",REPROBADA,"40,00",,,,,,,,,488,551,503,453,665,683,"519,5",2022
2022,1,1,IME027,4,PRECÁLCULO I,"2,2",REPROBADA,"30,00",,,,,,,,,473,493,472,516,669,718,"483,0",2022
2022,1,1,IME027,4,PRECÁLCULO I,"2,3",REPROBADA,"10,00",,,,,,,,,611,605,0,575,746,770,"608,0",2022
2022,1,1,IME027,4,PRECÁLCULO I,"2,3",REPROBADA,"23,33",,,,,,,,,559,605,0,525,599,600,"582,0",2022
2022,1,1,IME027,4,PRECÁLCULO I,"2,7",REPROBADA,"43,33",,,,,,,,,617,635,0,584,680,691,"626,0",2022
2022,1,1,IME027,4,PRECÁLCULO I,"2,8",REPROBADA,"36,67",,,,,,,,,521,572,0,558,605,702,"546,5",2022
2022,1,1,IME027,4,PRECÁLCULO I,"2,9",REPROBADA,"23,33",,,,,,,,,611,676,0,564,669,683,"643,5",2022
2022,1,1,IME027,4,PRECÁLCULO I,"3,0",REPROBADA,"50,00",,,,,,,,,617,653,0,605,746,775,"635,0",2022
2022,1,1,IME027,4,PRECÁLCULO I,"3,2",REPROBADA,"40,00",,,,,,,,,628,669,0,648,560,559,"648,5",2022
2022,1,1,IME027,4,PRECÁLCULO I,"3,5",REPROBADA,"20,00",,,,,,,,,574,614,0,605,779,829,"594,0",2022
